date,time,place,name,url,confirmed
2019-06-15,20:40,Rudolec u Sokolova,Rudolecký kotlík,https://www.facebook.com/Rudoleck%C3%BD-kotl%C3%ADk-438789519591808/,TRUE
2019-06-13,19:00,Čelákovice,Irish Music Pub,https://www.facebook.com/pg/irishmusicpub,TRUE
2019-05-25,18:30,Borohrádek,Borohrátky,,TRUE
2019-05-21,20:00,Praha,s kapelou Lyndown Town v klubu Vagon,https://www.facebook.com/events/515741298829847/,TRUE
2019-03-23,19:00,Liberec,Lidové sady Liberec,http://www.lidovesadyliberec.cz/,TRUE
2019-03-21,18:00,Praha,Sv. Patrik v KC Vozovna,http://www.kcvozovna.cz/,TRUE
2019-03-15,,Praha,Irské velvyslanectví,,TRUE
2018-12-02,19:00,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2018-10-03,20:00,Etno Brno,Stará pekárna,http://www.starapekarna.cz/,TRUE
2018-09-18,19:30,Praha,Carpe Diem,http://www.carpediemflora.cz/,TRUE
2018-07-23,20:00,Praha,s kapelou Tradish ve Vagonu,http://www.tradish.dk/index_gb.htm,TRUE
2018-07-14,21:00,Budyně nad Ohří,Keltský kruh,http://www.partynaklic.cz/cenik/keltsky-kruh-celtic-circle/hlavni-informace/,TRUE
2018-07-06,17:00,Kostelík,Skotsko v Kostelíku,https://kostelik.cz/program-skotska-v-kosteliku/,TRUE
2018-06-27,22:00,Praha,Jazzdock,https://www.facebook.com/events/464798933973502/,TRUE
2018-05-12,19:00,Jablonec nad Nisou,45 let Country Sisters,http://www.countrysisters.cz/,TRUE
2018-04-28,21:00,Trosky,Beltine,http://www.beltine.trosky.eu/,TRUE
2018-04-18,19:30,Praha,Klub Kafe Tercie,http://www.klubkafetercie.cz/,TRUE
2018-03-17,20:00,Domažlice,Peter's pub,https://peeterspub.metro.bar,TRUE
2018-03-16,18:00,Praha,Irské velvyslanectví,,TRUE
2018-03-03,19:30,Praha,Fantasy ples,https://www.facebook.com/events/226246294611355/?ti=as,TRUE
2018-01-20,19:30,Praha,Klub Kafe Tercie,http://www.klubkafetercie.cz/,TRUE
2017-12-04,20:00,Brusel,The Music Village,https://www.themusicvillage.com/,TRUE
2017-11-21,19:30,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
